,url,address,title,area,bedrooms,bathrooms,garages,price,date
1622,vivareal.com/imovel/apartamento-2-quartos-kobrasol-bairros-sao-jose-com-garagem-50m2-venda-RS155000-id-2506585278/,"Avenida Irineu Bornhausen - Kobrasol, São José - SC","Apartamento com 2 Quartos à Venda, 50m²
",50,2,1,1,155000,2021-04-28 
1623,vivareal.com/imovel/apartamento-2-quartos-kobrasol-bairros-sao-jose-com-garagem-68m2-venda-RS429000-id-2514987298/,"Kobrasol, São José - SC","Apartamento com 2 Quartos à Venda, 68m²
",68,2,2,1,429000,2021-04-28 
1624,vivareal.com/imovel/apartamento-3-quartos-campinas-bairros-sao-jose-com-garagem-130m2-venda-RS690000-id-2483515983/,"Avenida Marechal Castelo Branco, 400 - Campinas, São José - SC","Apartamento com 3 Quartos à Venda, 130m²
",130,3,2,2,690000,2021-04-28 
1625,vivareal.com/imovel/apartamento-2-quartos-kobrasol-bairros-sao-jose-com-garagem-49m2-venda-RS235000-id-2514519290/,"Rua Delamar José da Silva, 139 - Kobrasol, São José - SC","Apartamento com 2 Quartos à Venda, 49m²
",49,2,1,1,235000,2021-04-28 
1626,vivareal.com/imovel/apartamento-3-quartos-jardim-cidade-de-florianopolis-bairros-sao-jose-com-garagem-76m2-venda-RS381000-id-2427683801/,"Rua Cândido Amaro Damásio - Jardim Cidade de Florianópolis, São José - SC","Apartamento com 3 Quartos à Venda, 76m²
",76,3,2,2,381000,2021-04-28 
1627,vivareal.com/imovel/apartamento-2-quartos-kobrasol-bairros-sao-jose-com-garagem-72m2-venda-RS590000-id-2518112642/,"Kobrasol, São José - SC","Apartamento com 2 Quartos à Venda, 72m²
",72,2,1,1,590000,2021-04-28 
1629,vivareal.com/imovel/apartamento-3-quartos-barreiros-bairros-sao-jose-com-garagem-77m2-venda-RS350000-id-2468312089/,"Rua José Victor da Rosa - Barreiros, São José - SC","Apartamento com 3 Quartos à Venda, 77m²
",77,3,2,1,350000,2021-04-28 
1630,vivareal.com/imovel/apartamento-3-quartos-kobrasol-bairros-sao-jose-com-garagem-132m2-venda-RS1190000-id-2514805425/,"Kobrasol, São José - SC","Apartamento com 3 Quartos à Venda, 132m²
",132,3,3,2,1190000,2021-04-28 
1631,vivareal.com/imovel/apartamento-3-quartos-kobrasol-bairros-sao-jose-com-garagem-141m2-venda-RS1208000-id-2497826211/,"Rua Wanderlei Júnior, 256 - Kobrasol, São José - SC","Apartamento com 3 Quartos à Venda, 141m²
",141,3,5,3,1208000,2021-04-28 
1632,vivareal.com/imovel/apartamento-2-quartos-real-parque-bairros-sao-jose-com-garagem-70m2-venda-RS200000-id-2510437578/,"Rua Dom Hélder Câmara, 2782 - Real Parque, São José - SC","Apartamento com 2 Quartos à Venda, 70m²
",70,2,1,1,200000,2021-04-28 
1633,vivareal.com/imovel/apartamento-3-quartos-campinas-bairros-sao-jose-com-garagem-114m2-venda-RS849950-id-2478857181/,"Avenida Cruz e Souza, 418 - Campinas, São José - SC","Apartamento com 3 Quartos à Venda, 114m²
",114,3,4,2,849950,2021-04-28 
1634,vivareal.com/imovel/apartamento-3-quartos-kobrasol-bairros-sao-jose-74m2-venda-RS250000-id-2512049313/,"Kobrasol, São José - SC","Apartamento com 3 Quartos à Venda, 74m²
",74,3,1,--,250000,2021-04-28 
1636,vivareal.com/imovel/apartamento-2-quartos-campinas-bairros-sao-jose-com-garagem-68m2-venda-RS240000-id-2494286688/,"Rua Dom Pedro II - Campinas, São José - SC","Apartamento com 2 Quartos à Venda, 68m²
",68,2,1,1,240000,2021-04-28 
1637,vivareal.com/imovel/apartamento-2-quartos-barreiros-bairros-sao-jose-com-garagem-60m2-venda-RS270000-id-2504765147/,"Rua José Victor da Rosa, 722 - Barreiros, São José - SC","Apartamento com 2 Quartos à Venda, 60m²
",60,2,2,1,270000,2021-04-28 
1638,vivareal.com/imovel/apartamento-3-quartos-kobrasol-bairros-sao-jose-com-garagem-134m2-venda-RS1144000-id-2497790632/,"Rua Wanderlei Júnior, 264 - Kobrasol, São José - SC","Apartamento com 3 Quartos à Venda, 134m²
",134,3,5,3,1144000,2021-04-28 
1639,vivareal.com/imovel/apartamento-3-quartos-serraria-bairros-sao-jose-com-garagem-64m2-venda-RS210000-id-2517195822/,"Rua Wenceslau Evaristo Silva, 0 - Serraria, São José - SC","Apartamento com 3 Quartos à Venda, 64m²
",64,3,1,1,210000,2021-04-28 
1640,vivareal.com/imovel/apartamento-2-quartos-areias-bairros-sao-jose-com-garagem-54m2-venda-RS205000-id-2517986774/,"Rua Francisco Jacinto de Melo - Areias, São José - SC","Apartamento com 2 Quartos à Venda, 54m²
",54,2,1,1,205000,2021-04-28 
1641,vivareal.com/imovel/apartamento-3-quartos-barreiros-bairros-sao-jose-com-garagem-94m2-venda-RS540000-id-2518007881/,"Rua Eugênio Portela, 707 - Barreiros, São José - SC","Apartamento com 3 Quartos à Venda, 94m²
",94,3,1,2,540000,2021-04-28 
1643,vivareal.com/imovel/apartamento-3-quartos-kobrasol-bairros-sao-jose-com-garagem-112m2-venda-RS750000-id-2511807064/,"Kobrasol, São José - SC","Apartamento com 3 Quartos à Venda, 112m²
",112,3,1,2,750000,2021-04-28 
1644,vivareal.com/imovel/apartamento-2-quartos-campinas-bairros-sao-jose-com-garagem-69m2-venda-RS382000-id-2514315513/,"Campinas, São José - SC","Apartamento com 2 Quartos à Venda, 69m²
",69,2,2,1,382000,2021-04-28 
1645,vivareal.com/imovel/apartamento-3-quartos-bela-vista-bairros-sao-jose-com-garagem-104m2-venda-RS590000-id-2507986380/,"Rua Itaguaçu, 00 - Bela Vista, São José - SC","Apartamento com 3 Quartos à Venda, 104m²
",104,3,2,1,590000,2021-04-28 
1646,vivareal.com/imovel/apartamento-2-quartos-kobrasol-bairros-sao-jose-com-garagem-108m2-venda-RS518000-id-2517684046/,"Kobrasol, São José - SC","Apartamento com 2 Quartos à Venda, 108m²
",108,2,2,3,518000,2021-04-28 
1647,vivareal.com/imovel/apartamento-3-quartos-barreiros-bairros-sao-jose-com-garagem-78m2-venda-RS360000-id-2506979642/,"Rua Hermes, 0 - Barreiros, São José - SC","Apartamento com 3 Quartos à Venda, 78m²
",78,3,2,1,360000,2021-04-28 
1648,vivareal.com/imovel/apartamento-3-quartos-barreiros-bairros-sao-jose-com-garagem-96m2-venda-RS500000-id-2517807073/,"Barreiros, São José - SC","Apartamento com 3 Quartos à Venda, 96m²
",96,3,2,1,500000,2021-04-28 
1650,vivareal.com/imovel/apartamento-3-quartos-barreiros-bairros-sao-jose-com-garagem-94m2-venda-RS595000-id-2489482091/,"Rua Moura - Barreiros, São José - SC","Apartamento com 3 Quartos à Venda, 94m²
",94,3,2,2,595000,2021-04-28 
1651,vivareal.com/imovel/apartamento-2-quartos-barreiros-bairros-sao-jose-com-garagem-78m2-venda-RS424000-id-2510579612/,"Rua Santo Antônio - Barreiros, São José - SC","Apartamento com 2 Quartos à Venda, 78m²
",78,2,1,1,424000,2021-04-28 
