,url,address,title,area,bedrooms,bathrooms,garages,price,date
55,vivareal.com/imovel/apartamento-3-quartos-campinas-bairros-sao-jose-com-garagem-139m2-venda-RS700000-id-2517927795/,"Rua Elizeu Di Bernardi, 200 - Campinas, São José - SC","Apartamento com 3 Quartos à Venda, 139m²
",139,3,4,2,700000,2021-04-28 
56,vivareal.com/imovel/apartamento-3-quartos-campinas-bairros-sao-jose-com-garagem-95m2-venda-RS490000-id-2516036073/,"Avenida Governador Adolfo Konder, 20 - Campinas, São José - SC","Apartamento com 3 Quartos à Venda, 95m²
",95,3,1,1,490000,2021-04-28 
57,vivareal.com/imovel/apartamento-2-quartos-barreiros-bairros-sao-jose-com-garagem-72m2-venda-RS315900-id-2508656202/,"Rua Pintor Eduardo Dias, 748 - Barreiros, São José - SC","Apartamento com 2 Quartos à Venda, 72m²
",72,2,1,1,315900,2021-04-28 
59,vivareal.com/imovel/apartamento-2-quartos-barreiros-bairros-sao-jose-com-garagem-65m2-venda-RS490000-id-2516496092/,"Rua José Victor da Rosa, 300 - Barreiros, São José - SC","Apartamento com 2 Quartos à Venda, 65m²
",65,2,2,1,490000,2021-04-28 
60,vivareal.com/imovel/apartamento-2-quartos-campinas-bairros-sao-jose-com-garagem-102m2-venda-RS349900-id-2512282526/,"Rua Eugênio Raulino Koerich, 599 - Campinas, São José - SC","Apartamento com 2 Quartos à Venda, 102m²
",102,2,3,1,349900,2021-04-28 
61,vivareal.com/imovel/apartamento-1-quartos-barreiros-bairros-sao-jose-com-garagem-80m2-venda-RS250000-id-2514842607/,"Rua Antônio Basil Schroeder, 135 - Barreiros, São José - SC","Apartamento com  Quarto à Venda, 80m²
",80,1,1,1,250000,2021-04-28 
62,vivareal.com/imovel/apartamento-3-quartos-praia-comprida-bairros-sao-jose-com-garagem-111m2-venda-RS580000-id-2491237323/,"Rua Felipe Domingos Petry, 600 - Praia Comprida, São José - SC","Apartamento com 3 Quartos à Venda, 111m²
",111,3,3,2,580000,2021-04-28 
63,vivareal.com/imovel/apartamento-4-quartos-campinas-bairros-sao-jose-com-garagem-155m2-venda-RS1045000-id-2487630673/,"Campinas, São José - SC","Apartamento com 4 Quartos à Venda, 155m²
",155,4,2,2,1045000,2021-04-28 
64,vivareal.com/imovel/apartamento-3-quartos-jardim-cidade-de-florianopolis-bairros-sao-jose-com-garagem-95m2-venda-RS468000-id-2516674326/,"Rua Célio Veiga - Jardim Cidade de Florianópolis, São José - SC","Apartamento com 3 Quartos à Venda, 95m²
",95,3,2,1,468000,2021-04-28 
66,vivareal.com/imovel/apartamento-3-quartos-campinas-bairros-sao-jose-com-garagem-103m2-venda-RS300000-id-2511466996/,"Avenida Governador Jorge Lacerda - Campinas, São José - SC","Apartamento com 3 Quartos à Venda, 103m²
",103,3,2,1,300000,2021-04-28 
67,vivareal.com/imovel/apartamento-2-quartos-kobrasol-bairros-sao-jose-com-garagem-74m2-venda-RS430000-id-2490848737/,"Rua Brasilpinho, 95 - Kobrasol, São José - SC","Apartamento com 2 Quartos à Venda, 74m²
",74,2,2,1,430000,2021-04-28 
68,vivareal.com/imovel/apartamento-2-quartos-kobrasol-bairros-sao-jose-com-garagem-75m2-venda-RS479000-id-2508417874/,"Rua Caetano José Ferreira, 387 - Kobrasol, São José - SC","Apartamento com 2 Quartos à Venda, 75m²
",75,2,2,1,479000,2021-04-28 
69,vivareal.com/imovel/apartamento-2-quartos-kobrasol-bairros-sao-jose-com-garagem-126m2-venda-RS395000-id-2516132190/,"Kobrasol, São José - SC","Apartamento com 2 Quartos à Venda, 126m²
",126,2,2,1,395000,2021-04-28 
70,vivareal.com/imovel/apartamento-2-quartos-barreiros-bairros-sao-jose-com-garagem-78m2-venda-RS349000-id-2513325074/,"Barreiros, São José - SC","Apartamento com 2 Quartos à Venda, 78m²
",78,2,2,1,349000,2021-04-28 
71,vivareal.com/imovel/apartamento-3-quartos-floresta-bairros-sao-jose-com-garagem-119m2-venda-RS470000-id-2516033932/,"Rua Otávio do Patrocínio Medeiros, 95 - Floresta, São José - SC","Apartamento com 3 Quartos à Venda, 119m²
",119,3,1,1,470000,2021-04-28 
